date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-12-10,21.52,21.91,21.73,21.26,31897.98,0.23,1.07,21.552,21.707,21.807,29059.0,40614.51,45563.6,0.26
2020-12-09,21.46,21.56,21.5,21.27,33564.26,0.12,0.56,21.616,21.676,21.868,27803.13,40180.14,55819.87,0.28
2020-12-08,21.3,21.48,21.38,21.3,16259.08,0.0,0.0,21.736,21.669,22.006,33196.44,41800.53,63732.41,0.13
2020-12-07,21.8,21.85,21.38,21.34,44360.66,-0.39,-1.79,21.786,21.715,22.131,38222.62,43718.13,70400.2,0.37
2020-12-04,21.86,22.0,21.77,21.68,19213.03,-0.28,-1.27,21.832,21.781,22.25,43100.51,43519.92,76926.8,0.16
2020-12-03,22.1,22.12,22.05,21.82,25618.63,-0.05,-0.23,21.862,21.812,22.354,52170.01,45645.42,82352.76,0.21
2020-12-02,21.71,22.15,22.1,21.51,60530.79,0.47,2.17,21.736,21.818,22.407,52557.16,46083.89,86232.54,0.5
2020-12-01,21.62,21.7,21.63,21.26,41390.0,0.02,0.09,21.602,21.816,22.4,50404.63,43318.54,85549.89,0.4
2020-11-30,22.02,22.03,21.61,21.11,68750.12,-0.31,-1.41,21.644,21.845,22.426,49213.63,43955.44,85656.22,0.66
2020-11-27,21.42,22.22,21.92,21.41,64560.53,0.5,2.33,21.73,21.894,22.453,43939.32,43028.23,84445.88,0.62
2020-11-26,21.51,21.6,21.42,21.38,27554.34,-0.01,-0.05,21.762,21.906,22.489,39120.82,50512.69,83472.91,0.26
2020-11-25,21.92,21.97,21.43,21.35,49768.15,-0.41,-1.88,21.9,22.059,22.57,39610.62,71459.59,83980.95,0.48
2020-11-24,22.04,22.04,21.84,21.82,35435.02,-0.2,-0.91,22.03,22.343,22.638,36232.45,85664.29,83704.37,0.34
2020-11-23,21.98,22.1,22.04,21.84,42378.54,-0.04,-0.18,22.046,22.547,22.677,38697.25,97082.27,85202.4,0.4
2020-11-20,22.17,22.18,22.08,21.94,40468.03,-0.03,-0.14,22.058,22.718,22.727,42117.15,110333.68,86534.57,0.39
2020-11-19,22.21,22.22,22.11,22.02,30003.36,0.03,0.14,22.05,22.895,22.812,61904.57,119060.1,88007.61,0.29
2020-11-18,22.0,22.16,22.08,21.98,32877.3,0.16,0.73,22.218,22.996,22.914,103308.55,126381.2,90550.43,0.31
2020-11-17,22.1,22.14,21.92,21.8,47759.0,-0.18,-0.81,22.656,22.983,23.009,135096.13,127781.24,91617.44,0.46
2020-11-16,22.23,22.33,22.1,22.01,59478.07,0.06,0.27,23.048,23.006,23.114,155467.29,127356.99,93549.85,0.57
2020-11-13,22.47,22.47,22.04,21.91,139405.12,-0.91,-3.96,23.378,23.011,23.198,178550.2,125863.52,95435.56,1.33
2020-11-12,24.64,24.68,22.95,22.38,237023.28,-1.32,-5.44,23.74,23.072,23.251,176215.62,116433.13,89951.94,2.26
2020-11-11,24.15,24.68,24.27,24.05,191815.2,0.39,1.63,23.774,23.08,23.269,149453.84,96502.32,79911.33,1.83
2020-11-10,23.86,24.44,23.88,23.63,149614.8,0.13,0.55,23.31,22.933,23.221,120466.34,81744.44,72884.41,1.43
2020-11-09,23.68,24.23,23.75,23.48,174892.59,-0.1,-0.42,22.964,22.807,23.205,99246.69,73322.54,70794.01,1.67
